Title,Author
American Gods (American Gods\, #1),Neil Gaiman
Annihilation (Southern Reach\, #1),Jeff VanderMeer
Perdido Street Station (New Crobuzon\, #1),China Miéville
House of Leaves,Mark Z. Danielewski
Neverwhere (London Below\, #1),Neil Gaiman
The Metamorphosis,Franz Kafka
The Scar (New Crobuzon\, #2),China Miéville
The Ocean at the End of the Lane,Neil Gaiman
The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft
The Master and Margarita,Mikhail Bulgakov
The Graveyard Book,Neil Gaiman
Coraline,Neil Gaiman
The Library at Mount Char,Scott  Hawkins
Fahrenheit 451,Ray Bradbury
A Clockwork Orange,Anthony Burgess
The Lottery,Shirley Jackson
Invisible Monsters,Chuck Palahniuk
One Flew Over the Cuckoo's Nest,Ken Kesey
John Dies at the End (John Dies at the End\, #1),David  Wong
The Wasp Factory,Iain Banks
Something Wicked This Way Comes,Ray Bradbury
American Psycho,Bret Easton Ellis
Authority,Jeff VanderMeer
Gormenghast (Gormenghast\, #2),Mervyn Peake
We Have Always Lived in the Castle,Shirley Jackson
Fight Club,Chuck Palahniuk
Trainspotting (Mark Renton\, #2),Irvine Welsh
City of Saints and Madmen (Ambergris\, #1),Jeff VanderMeer
Factotum,Charles Bukowski
Lunar Park,Bret Easton Ellis
Requiem for a Dream,Hubert Selby Jr.
The Elephant Tree,R.D. Ronald
Acceptance,Jeff VanderMeer
Skagboys (Mark Renton\, #1),Irvine Welsh
Headsectomy,Lucian Bane
The Picture of Dorian Gray,Oscar Wilde
Hard-Boiled Wonderland and the End of the World,Haruki Murakami
If on a Winter's Night a Traveler,Italo Calvino
Borne (Borne\, #1),Jeff VanderMeer
The Island of Dr. Moreau,H.G. Wells
The City & the City,China Miéville
Kraken,China Miéville
Animal Farm,George Orwell
The Great God Pan,Arthur Machen
Slaughterhouse-Five,Kurt Vonnegut Jr.
The Haunting of Hill House,Shirley Jackson
Horns,Joe Hill
Brave New World,Aldous Huxley
1Q84 (1Q84\, #1-3),Haruki Murakami
The King in Yellow and Other Horror Stories,Robert W. Chambers
Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children\, #1),Ransom Riggs
Lord of the Flies,William Golding
NOS4A2,Joe Hill
Geek Love,Katherine Dunn
Flatland: A Romance of Many Dimensions,Edwin A. Abbott
A Monster Calls,Patrick Ness
Titus Groan (Gormenghast\, #1),Mervyn Peake
The Fifth Season (The Broken Earth\, #1),N.K. Jemisin
Gone Girl,Gillian Flynn
Collected Ghost Stories,M.R. James
Viriconium (Viriconium #1-4),M. John Harrison
A Scanner Darkly,Philip K. Dick
Iron Council (New Crobuzon\, #3),China Miéville
The October Country,Ray Bradbury
Tales of Horror and the Supernatural,Arthur Machen
Songs of a Dead Dreamer and Grimscribe,Thomas Ligotti
Shriek: An Afterword (Ambergris\, #2),Jeff VanderMeer
The Willows,Algernon Blackwood
Ubik,Philip K. Dick
The Thing on the Doorstep and Other Weird Stories,H.P. Lovecraft
Heart of a Dog,Mikhail Bulgakov
Heart of Darkness,Joseph Conrad
Pride and Prejudice and Zombies (Pride and Prejudice and Zombies\, #1),Seth Grahame-Smith
The Three Impostors,Arthur Machen
Finch (Ambergris\, #3),Jeff VanderMeer
Physiognomy,Ford Jeffrey
Battle Royale,Koushun Takami
The House with a Clock in Its Walls (Lewis Barnavelt\, #1),John Bellairs
Uzumaki: Spiral into Horror\, Vol. 1,Junji Ito
The Man in the High Castle,Philip K. Dick
This Book Is Full of Spiders (John Dies at the End\, #2),David  Wong
Railsea,China Miéville
Crime and Punishment,Fyodor Dostoevsky
Ulysses,James Joyce
The Catcher in the Rye,J.D. Salinger
Lamb: The Gospel According to Biff\, Christ's Childhood Pal,Christopher Moore
Grimscribe: His Lives and Works,Thomas Ligotti
Where the Wild Things Are,Maurice Sendak
The Croning,Laird Barron
Alchemist,Terry  Reid
Looking for Jake,China Miéville
Crooked Little Vein,Warren Ellis
The Weird: A Compendium of Strange and Dark Stories,Ann VanderMeer
The Road,Cormac McCarthy
Breakfast of Champions,Kurt Vonnegut Jr.
A Warm Place to Call Home,Michael Siemsen
Truck Stop Earth,Michael A. Armstrong
Palimpsest,Catherynne M. Valente
The Book of Illusions,Paul Auster
Unanimity (Spiral Worlds\, #1),Alexandra Almeida
Sex\, Drugs\, and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman
Survivor,Chuck Palahniuk
The Secret History,Donna Tartt
A Portrait of the Artist as a Young Man,James Joyce
Ghost Stories of an Antiquary,M.R. James
Light (Kefahuchi Tract\, #1),M. John Harrison
Dead Souls,Nikolai Gogol
More Ghost Stories of an Antiquary,M.R. James
The Comfort of Strangers,Ian McEwan
The Eternal Champion (Eternal Champion\, #1),Michael Moorcock
The Nose,Catherine Cowan
VALIS,Philip K. Dick
The 120 Days of Sodom,Marquis de Sade
Porno (Mark Renton\, #3),Irvine Welsh
The Goldfinch,Donna Tartt
Growth of the Soil,Knut Hamsun
The Drowned World,J.G. Ballard
Glue,Irvine Welsh
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn
Tropic of Capricorn (Tropic\, #2),Henry Miller
Crash,J.G. Ballard
High Strangeness,Eric Bickernicks
The Soft Machine (The Nova Trilogy #1),William S. Burroughs
Down on the Farm,Shaun Meeks
Southern Gods,John Hornor Jacobs
The Street of Crocodiles,Bruno Schulz
The Room,Hubert Selby Jr.
But What If We're Wrong? Thinking About the Present As If It Were the Past,Chuck Klosterman
Ancient Sorceries and Other Weird Stories,S.T. Joshi
The Idiot,Fyodor Dostoevsky
Count Magnus and Other Ghost Stories,M.R. James
The 13½ Lives of Captain Bluebear (Zamonia\, #1),Walter Moers
A Gathering of Twine,Martin Adil-Smith
Angels,Denis Johnson
The Bachman Books,Richard Bachman
The Largesse of the Sea Maiden: Stories,Denis Johnson
The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,Robert Louis Stevenson
Harvest Home,Thomas Tryon
Un Lun Dun,China Miéville
Adjustment Day,Chuck Palahniuk
Fever Dream,Samanta Schweblin
Nobody Move,Denis Johnson
The Rules of Attraction,Bret Easton Ellis
Concrete Island,J.G. Ballard
The Zombie Room,R.D. Ronald
Lullaby,Chuck Palahniuk
Tampa,Alissa Nutting
The Rum Diary,Hunter S. Thompson
Cat's Cradle,Kurt Vonnegut Jr.
Women,Charles Bukowski
Sometimes a Great Notion,Ken Kesey
The Trial,Franz Kafka
Dark Places,Gillian Flynn
Story of the Eye,Georges Bataille
Train Dreams,Denis Johnson
The Last Days of New Paris,China Miéville
Money,Martin Amis
The Book of Occult,Simon W. Clark
The Gate at Lake Drive (Dillon the Monster Dick Book 1),Shaun Meeks
At the Mountains of Madness,H.P. Lovecraft
Filth,Irvine Welsh
The Vorrh (The Vorrh Trilogy\, #1),Brian Catling
Vurt,Jeff Noon
Grudge Punk,John McNee
Mrs Durham's Girl: And the Stories That She Told,Ann Perry
Fear and Loathing in Las Vegas,Hunter S. Thompson
Silk (A Silk Novel Book 1),Caitlín R. Kiernan
To Charles Fort\, with Love,Caitlín R. Kiernan
The Dictator of Britannica,A.N. Shekarnia
The Plucker: From the World of Spilt Milk,D.K. Cassidy
The Fury of the Fae,Bernie Morris
The Cement Garden,Ian McEwan
The Etched City,K.J. Bishop
Cold Hand in Mine: Strange Stories,Robert Aickman
The Bell Jar,Sylvia Plath
The Man Who Collected Machen and Other Weird Tales,Mark Samuels
The Ceremonies,T.E.D. Klein
In a Glass Darkly,J. Sheridan Le Fanu
When Gravity Fails (Marîd Audran\, #1),George Alec Effinger
The Sluts,Dennis Cooper
Tender Morsels,Margo Lanagan
The Dream-Quest of Vellitt Boe,Kij Johnson
Horrorstör,Grady Hendrix
The Drowning Girl,Caitlín R. Kiernan
Island,Aldous Huxley
Dubliners,James Joyce
Piranesi,Susanna Clarke
Invisible Cities,Italo Calvino
The White People and Other Weird Stories,Arthur Machen
The Wind-Up Bird Chronicle,Haruki Murakami
Dare Me,Megan Abbott
Grifters,Jim Thompson
Senlin Ascends (The Books of Babel\, #1),Josiah Bancroft
Glamorama,Bret Easton Ellis
Clown Girl,Monica Drake
Brighton Rock,Graham Greene
The Informers,Bret Easton Ellis
The Death of Bunny Munro,Nick Cave
Choke,Chuck Palahniuk
Skellig (Skellig\, #1),David Almond
In the Miso Soup,Ryū Murakami
The Dark Eidolon and Other Fantasies,Clark Ashton Smith
In the Land of Time: And Other Fantasy Tales,Lord Dunsany
The Demon,Hubert Selby Jr.
Dead Men's Trousers [May 29\, 2018] Welsh\, Irvine (181 GRAND),Irvine Welsh
The New York Trilogy (New York Trilogy #1-3),Paul Auster
The Information,Martin Amis
Imperial Bedrooms,Bret Easton Ellis
Novel with Cocaine,M. Ageyev
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter\, Witch,Terry Pratchett
Pale Fire,Vladimir Nabokov
Wake the Wicked,Christian Baloga
Spyder Bones,Oliver Phipps
Under Her Spell,Elani Roman
A Greater Monster,David David Katzman
The Damnation Game,Clive Barker
Rumo & His Miraculous Adventures (Zamonia\, #3),Walter Moers
The Brothers Karamazov,Fyodor Dostoevsky
My Pet Serial Killer,Michael J. Seidlinger
The Divinity Student,Michael Cisco
Last Call (Fault Lines\, #1),Tim Powers
Mysteria: A book of spooky and fantastic tales,David Hayes
I\, Coriander,Sally Gardner
Dark Eden (Dark Eden\, #1),Chris Beckett
The Dreams in the Witch House and Other Weird Stories,H.P. Lovecraft
Cabbie with a Dangerous Mind,Karl Wiggins
The Child Thief,Brom
Delta of Venus,Anaïs Nin
Genie-alogy,H.B.  Morris
Fractured Fairy Tales of the Twilight Zone,J. Cafesin
