Title,Author
1984,George Orwell
American Psycho,Bret Easton Ellis
The Road,Cormac McCarthy
A Clockwork Orange,Anthony Burgess
Lord of the Flies,William Golding
Fahrenheit 451,Ray Bradbury
Animal Farm,George Orwell
Brave New World,Aldous Huxley
The Handmaid’s Tale (The Handmaid's Tale\, #1),Margaret Atwood
Fight Club,Chuck Palahniuk
One Flew Over the Cuckoo's Nest,Ken Kesey
The Shining (The Shining\, #1),Stephen King
Requiem for a Dream,Hubert Selby Jr.
The Wasp Factory,Iain Banks
Frankenstein,Mary Wollstonecraft Shelley
Invisible Monsters,Chuck Palahniuk
Dracula,Bram Stoker
Trainspotting (Mark Renton\, #2),Irvine Welsh
Crime and Punishment,Fyodor Dostoevsky
Blood Meridian\, or\, the Evening Redness in the West,Cormac McCarthy
The Elephant Tree,R.D. Ronald
Factotum,Charles Bukowski
Heart of Darkness,Joseph Conrad
The Metamorphosis,Franz Kafka
Wuthering Heights,Emily Brontë
Skagboys (Mark Renton\, #1),Irvine Welsh
It,Stephen King
Lunar Park,Bret Easton Ellis
The Picture of Dorian Gray,Oscar Wilde
The Bell Jar,Sylvia Plath
The Stranger,Albert Camus
The Silence of the Lambs  (Hannibal Lecter\, #2),Thomas  Harris
Night  (The Night Trilogy\, #1),Elie Wiesel
The Trial,Franz Kafka
The Stand,Stephen King
Misery,Stephen King
Never Let Me Go,Kazuo Ishiguro
The Exorcist,William Peter Blatty
Sharp Objects,Gillian Flynn
The Diary of a Young Girl,Anne Frank
Lolita,Vladimir Nabokov
Perfume: The Story of a Murderer,Patrick Süskind
Let the Right One In,John Ajvide Lindqvist
Slaughterhouse-Five,Kurt Vonnegut Jr.
No Country for Old Men,Cormac McCarthy
The Complete Stories and Poems,Edgar Allan Poe
The Girl with the Dragon Tattoo (Millennium\, #1),Stieg Larsson
All Quiet on the Western Front,Erich Maria Remarque
Gone Girl,Gillian Flynn
Macbeth,William Shakespeare
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson
Pet Sematary,Stephen King
The Zombie Room,R.D. Ronald
The Virgin Suicides,Jeffrey Eugenides
Watership Down (Watership Down\, #1),Richard  Adams
Inferno,Dante Alighieri
House of Leaves,Mark Z. Danielewski
Blindness,José Saramago
Dark Places,Gillian Flynn
The Girl Next Door,Jack Ketchum
The Raven,Edgar Allan Poe
Child of God,Cormac McCarthy
Last Exit to Brooklyn,Hubert Selby Jr.
A Child Called \"It\" (Dave Pelzer\, #1),Dave Pelzer
Oryx and Crake (MaddAddam\, #1),Margaret Atwood
The Killer Inside Me,Jim Thompson
Do Androids Dream of Electric Sheep?,Philip K. Dick
On the Beach,Nevil Shute
The Giving Tree,Shel Silverstein
The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft
Naked Lunch,William S. Burroughs
Interview with the Vampire (The Vampire Chronicles\, #1),Anne Rice
We Need to Talk About Kevin,Lionel Shriver
Rebecca,Daphne du Maurier
The Cask of Amontillado,Edgar Allan Poe
The Catcher in the Rye,J.D. Salinger
As I Lay Dying,William Faulkner
The Pit and the Pendulum,Edgar Allan Poe
Hannibal (Hannibal Lecter\, #3),Thomas  Harris
Haunted,Chuck Palahniuk
Room,Emma Donoghue
Apt Pupil,Stephen King
Red Dragon (Hannibal Lecter\, #1),Thomas  Harris
Crash,J.G. Ballard
The War of the Worlds,H.G. Wells
Carrie,Stephen King
The Amityville Horror,Jay Anson
Notes from Underground\, White Nights\, The Dream of a Ridiculous Man\, and Selections from The House of the Dead,Fyodor Dostoevsky
The Children of Men,P.D. James
The Long Walk,Richard Bachman
Jude the Obscure,Thomas Hardy
Battle Royale,Koushun Takami
The Yellow Wall-Paper,Charlotte Perkins Gilman
Les Misérables,Victor Hugo
The Golden Compass (His Dark Materials\, #1),Philip Pullman
The Turn of the Screw,Henry James
Less Than Zero,Bret Easton Ellis
The Sheltering Sky,Paul Bowles
And Then There Were None,Agatha Christie
The Sinner,K. Trap Jones
Atonement,Ian McEwan
Of Mice and Men,John Steinbeck
Needful Things,Stephen King
Geek Love,Katherine Dunn
The Masque of the Red Death,Edgar Allan Poe
Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi
The Legendary Wolf,Ammar Habib
Death of a Salesman,Arthur  Miller
The Cement Garden,Ian McEwan
The Raven and Other Poems,Edgar Allan Poe
The Hunger Games (The Hunger Games\, #1),Suzanne Collins
To Kill a Mockingbird,Harper Lee
The Secret History,Donna Tartt
I Am Legend,Richard Matheson
Not Okay,Brett Axel
The Stranger Beside Me: Ted Bundy: The Shocking Inside Story,Ann Rule
The Island of Dr. Moreau,H.G. Wells
Hunger,Knut Hamsun
The Little Match Girl,Hans Christian Andersen
Unwind (Unwind\, #1),Neal Shusterman
The Book of Lost Things (The Book of Lost Things\, #1),John Connolly
The Plague,Albert Camus
Beowulf,Unknown
Desperation,Stephen King
Hamlet,William Shakespeare
Sophie's Choice,William Styron
Cat's Cradle,Kurt Vonnegut Jr.
Harry Potter and the Deathly Hallows (Harry Potter\, #7),J.K. Rowling
The Lovely Bones,Alice Sebold
The Room,Hubert Selby Jr.
The Time Machine,H.G. Wells
White Oleander,Janet Fitch
The Comfort of Strangers,Ian McEwan
Something Wicked This Way Comes,Ray Bradbury
Brighton Rock,Graham Greene
A Christmas Carol,Charles Dickens
Delta of Venus,Anaïs Nin
Journey to the End of the Night,Louis-Ferdinand Céline
The Dark Half,Stephen King
Waiting for Godot,Samuel Beckett
The Phantom of the Opera,Gaston Leroux
'Salem's Lot,Stephen King
The Rules of Attraction,Bret Easton Ellis
Hell Bound (Heroes in Hell #19),Andrew P. Weston
The 120 Days of Sodom,Marquis de Sade
Johnny Got His Gun,Dalton Trumbo
A Scanner Darkly,Philip K. Dick
The Girl Who Played with Fire (Millennium\, #2),Stieg Larsson
Out,Natsuo Kirino
The Brothers Karamazov,Fyodor Dostoevsky
Nausea,Jean-Paul Sartre
Skeleton Crew,Stephen King
Epic of Lilith,Ivars Ozols
Alias Grace,Margaret Atwood
Pale Fire,Vladimir Nabokov
Shutter Island,Dennis Lehane
Trinity (Dark Legacy Cycle\, #1),Domenico Italo Composto-Hart
The Fall of the House of Usher and Other Tales,Edgar Allan Poe
Filthy Movie – The Most Sadistic Short Story on the Market,Wade H. Garrett
A Canticle for Leibowitz (St. Leibowitz\, #1),Walter M. Miller Jr.
Piercing,Ryū Murakami
Ein Blick in die Hölle - Buch 2: Festa Extrem,Wade H. Garrett
The Reckoning: An Extreme Horror Novel (A Glimpse into Hell\, # 5),Wade H. Garrett
The complete “A Glimpse into Hell” series - 6 books\, 215 chapters\, 1800 pages\, 650K words of pure gore,Wade H. Garrett
Junky,William S. Burroughs
Almost Transparent Blue,Ryū Murakami
Hell House,Richard Matheson
Concrete Island,J.G. Ballard
The Talisman (The Talisman\, #1),Stephen King
The Godfather (The Godfather\, #1),Mario Puzo
Into the Wild,Jon Krakauer
Diary,Chuck Palahniuk
The Soft Machine (The Nova Trilogy #1),William S. Burroughs
Song of Kali,Dan Simmons
Death Note\, Vol. 1: Boredom (Death Note\, #1),Tsugumi Ohba
In Cold Blood,Truman Capote
Moon Palace,Paul Auster
Romeo and Juliet,William Shakespeare
The Sound and the Fury,William Faulkner
Anna Karenina,Leo Tolstoy
Heart of a Dog,Mikhail Bulgakov
In the Miso Soup,Ryū Murakami
The Informers,Bret Easton Ellis
The Bachman Books,Richard Bachman
The Master and Margarita,Mikhail Bulgakov
Hostage to the Devil: The Possession and Exorcism of Five Contemporary Americans,Malachi Martin
Porno (Mark Renton\, #3),Irvine Welsh
The Year of the Flood (MaddAddam\, #2),Margaret Atwood
Choke,Chuck Palahniuk
Titus Andronicus,William Shakespeare
Frisk,Dennis Cooper
The Drowned World,J.G. Ballard
Train Dreams,Denis Johnson
Tropic of Cancer (Tropic\, #1),Henry Miller
The Butcher Boy,Patrick McCabe
11/22/63,Stephen King
The Possibility of an Island,Michel Houellebecq
Dead Souls,Nikolai Gogol
Maus I: A Survivor's Tale: My Father Bleeds History (Maus\, #1),Art Spiegelman
The Giver (The Giver\, #1),Lois Lowry
Living Dead Girl,Elizabeth Scott
Dark Rooms,Lili Anolik
The Thirteenth Tale,Diane Setterfield
Franz Kafka's The Castle,David Fishelson
Angels,Denis Johnson
Long Day's Journey into Night,Eugene O'Neill
The Fall,Albert Camus
Watchmen,Alan Moore
But What If We're Wrong? Thinking About the Present As If It Were the Past,Chuck Klosterman
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography\, #1),Maya Angelou
Steppenwolf,Hermann Hesse
Enjoy Me,Logan Ryan Smith
The Culling,Anthony Hulse
My Eyes Are Black Holes,Logan Ryan Smith
4 3 2 1,Paul Auster
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn
Little Bee,Chris Cleave
The Sex Lives of Siamese Twins,Irvine Welsh
The Jungle,Upton Sinclair
Blood and Guts in High School,Kathy Acker
Story of the Eye,Georges Bataille
Island,Aldous Huxley
Neuromancer (Sprawl\, #1),William Gibson
A Game of Thrones (A Song of Ice and Fire\, #1),George R.R. Martin
The Devil All the Time,Donald Ray Pollock
Sometimes a Great Notion,Ken Kesey
Mind Hunter: Inside the FBI's Elite Serial Crime Unit,John E. Douglas
The Kite Runner,Khaled Hosseini
Bastard Out of Carolina,Dorothy Allison
Swan Song,Robert R. McCammon
The Glass Castle,Jeannette Walls
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman
House of Sand and Fog,Andre Dubus III
Women,Charles Bukowski
Winter's Bone,Daniel Woodrell
Norwegian Wood,Haruki Murakami
The Crucible: A Play in Four Acts,Arthur  Miller
The Children Act,Ian McEwan
Big Sur,Jack Kerouac
The Damnation Game,Clive Barker
The Color Purple,Alice Walker
Ubik,Philip K. Dick
Dr. Faustus,Christopher Marlowe
Save Yourself,Kelly Braffet
Filth,Irvine Welsh
Maus II: A Survivor's Tale: And Here My Troubles Began,Art Spiegelman
Glamorama,Bret Easton Ellis
The Demon,Hubert Selby Jr.
The End of Alice,A.M. Homes
The Goldfinch,Donna Tartt
The Witching Hour (Lives of the Mayfair Witches\, #1),Anne Rice
Batman: The Killing Joke,Alan Moore
Flowers in the Attic (Dollanganger\, #1),V.C. Andrews
Queer,William S. Burroughs
Rant: An Oral Biography of Buster Casey,Chuck Palahniuk
A Portrait of the Artist as a Young Man,James Joyce
The Woman in White,Wilkie Collins
The Book Thief,Markus Zusak
Tender is the Flesh,Agustina Bazterrica
A Thousand Splendid Suns,Khaled Hosseini
Taltos (Lives of the Mayfair Witches\, #3),Anne Rice
Strings,Allison M. Dickson
Lullaby,Chuck Palahniuk
If on a Winter's Night a Traveler,Italo Calvino
A Hero of Our Time,Mikhail Lermontov
Cancer Ward,Aleksandr Solzhenitsyn
Glengarry Glen Ross,David Mamet
Houdini Heart,Ki Longfellow
The Russian Sleep Experiment,Holly Ice
Alive: The Story of the Andes Survivors,Piers Paul Read
Things Fall Apart (The African Trilogy\, #1),Chinua Achebe
Lasher (Lives of the Mayfair Witches\, #2),Anne Rice
Christine: Tappaja-auto,Stephen King
And the Ass Saw the Angel,Nick Cave
The House of the Scorpion (Matteo Alacran\, #1),Nancy Farmer
Darkness at Noon,Arthur Koestler
Growth of the Soil,Knut Hamsun
Invisible,Paul Auster
Time's Arrow,Martin Amis
Howl and Other Poems,Allen Ginsberg
Ulysses,James Joyce
The Ritual,Adam Nevill
The Rum Diary,Hunter S. Thompson
Tropic of Capricorn (Tropic\, #2),Henry Miller
A Farewell to Arms,Ernest Hemingway
Midwives,Chris Bohjalian
Clown Girl,Monica Drake
Dare Me,Megan Abbott
Beloved,Toni Morrison
Histoire d'O | Story of O (Story of O\, #1),Pauline Réage
The Book of Illusions,Paul Auster
The Lottery,Shirley Jackson
Darkly Dreaming Dexter (Dexter\, #1),Jeff Lindsay
The Casual Vacancy,J.K. Rowling
The Largesse of the Sea Maiden: Stories,Denis Johnson
The Bluest Eye,Toni Morrison
Sex\, Drugs\, and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman
Moon Tiger,Penelope Lively
Zombie,Joyce Carol Oates
The Doors of Perception / Heaven and Hell,Aldous Huxley
The Castle of Otranto,Horace Walpole
World War Z: An Oral History of the Zombie War,Max Brooks
Dead Men's Trousers [May 29\, 2018] Welsh\, Irvine (181 GRAND),Irvine Welsh
The Power and the Glory,Graham Greene
The Sorrows of Young Werther,Johann Wolfgang von Goethe
Carmilla,J. Sheridan Le Fanu
The House on the Strand,Daphne du Maurier
Dark Chatter,Andrew Branch
Before Familiar Woods,Ian Pisarcik
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown
Rejected for Content: Splattergore,Catt Dahman
A Little Life,Hanya Yanagihara
Mockingjay (The Hunger Games\, #3),Suzanne Collins
The House of the Dead,Fyodor Dostoevsky
Western Palaces,Logan Ryan Smith
The Death of Bunny Munro,Nick Cave
Tampa,Alissa Nutting
The Tin Drum,Günter Grass
Meditation on Space-Time,Leonard Seet
